protein,X2018_MARCH_5_UWPRQE_HATCHMICRO_01_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_03_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_04_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_05_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_06_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_07_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_08_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_09_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_10_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_11_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_12_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_13_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_14_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_15_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_16_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_17_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_18_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_19_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_20_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_21_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_22_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_23_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_24_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_25_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_26_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_27_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_28_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_29_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_30_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_31_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_32_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_33_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_34_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_35_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_36_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_37_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_38_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_39_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_40_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_41_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_42_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_43_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_44_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_45_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_46_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_47_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_48_NUMSPECSTOT,X2018_MARCH_5_UWPRQE_HATCHMICRO_49_NUMSPECSTOT,protein length,uniprot annotation,blastp e-value
gene_2385369|GeneMark.hmm|316_aa|-|4506|5456,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,316,Q9XI74.1,2.58E-11
gene_2385369|GeneMark.hmm|316_aa|-|4506|5456,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,316,Q9XI74.1,4.49E-10
gene_2385369|GeneMark.hmm|316_aa|-|4506|5456,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,316,Q9XI74.1,1.17E-92
gene_2387352|GeneMark.hmm|970_aa|-|27773|30685,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,970,P17315.2,6.80E-08
gene_2390704|GeneMark.hmm|378_aa|+|1|1137,0,5,2,2,4,0,6,3,6,4,1,3,2,2,1,1,1,3,2,2,3,0,0,2,7,5,1,0,2,0,2,2,1,0,3,2,2,1,1,2,7,0,3,0,4,2,2,1,378,O06875.3,2.91E-113
gene_2394231|GeneMark.hmm|256_aa|-|2|769,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,256,NA,NA
gene_23966|GeneMark.hmm|473_aa|-|3708|5129,0,0,0,1,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,473,P22849.3,0
gene_2396656|GeneMark.hmm|139_aa|+|1411|1830,0,9,3,5,7,0,5,4,0,1,0,0,0,0,0,0,0,6,2,0,1,0,0,0,6,1,0,0,6,0,7,6,6,0,0,7,3,0,0,0,7,0,5,0,0,5,0,0,139,P00107.1,1.92E-47
gene_2400362|GeneMark.hmm|104_aa|-|978|1292,0,1,0,1,1,0,2,1,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,2,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,0,1,0,3,1,0,0,104,NA,NA
gene_2400801|GeneMark.hmm|64_aa|+|526|720,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,64,Q9SIM4.1,8.07E-11
gene_2403136|GeneMark.hmm|191_aa|+|1634|2209,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,191,NA,NA
gene_240459|GeneMark.hmm|234_aa|-|481|1185,0,2,1,1,0,0,1,0,2,2,1,1,1,2,1,1,2,2,1,1,2,1,2,2,1,2,1,0,0,0,0,3,2,0,2,0,0,3,1,2,3,0,1,1,2,1,2,1,234,Q2YLF8.1,7.03E-05
gene_2404785|GeneMark.hmm|304_aa|-|3|914,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,304,P46359.2,1.98E-16
gene_2412893|GeneMark.hmm|67_aa|+|3|206,0,1,1,1,2,0,1,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,2,0,0,0,1,0,1,0,2,0,0,0,3,0,0,0,2,0,3,0,0,1,0,0,67,P27522.1,2.88E-09
gene_2415784|GeneMark.hmm|366_aa|+|3|1103,3,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,0,2,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,366,A7HWP7.1,0
gene_2415998|GeneMark.hmm|280_aa|-|1837|2679,0,2,1,4,1,0,2,0,0,3,0,0,0,0,0,0,0,3,1,0,0,0,1,1,1,2,0,0,1,0,1,2,3,0,0,0,0,1,0,0,1,0,0,1,0,2,1,0,280,P55659.1,3.12E-36
gene_241768|GeneMark.hmm|511_aa|-|10513|12048,0,1,2,5,3,0,2,1,0,1,0,0,0,0,0,0,0,4,4,1,0,0,1,1,3,1,0,0,2,0,2,6,3,0,0,4,2,0,0,0,3,0,1,0,0,0,1,0,511,A8LJR6.1,0
gene_241994|GeneMark.hmm|369_aa|+|364|1473,0,2,0,5,3,0,5,2,1,0,0,0,2,2,1,2,1,3,2,1,2,2,1,1,2,1,1,2,4,1,3,5,4,1,1,2,0,2,1,2,3,1,2,1,2,2,1,2,369,Q9C136.1,4.46E-143
gene_2432911|GeneMark.hmm|208_aa|+|1022|1648,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,208,P26854.2,7.12E-82
gene_2439999|GeneMark.hmm|623_aa|-|151|2022,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,623,P04919.1,1.69E-52
gene_2440340|GeneMark.hmm|191_aa|+|7494|8069,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,191,P73728.1,1.45E-60
gene_2440534|GeneMark.hmm|431_aa|+|400|1695,0,1,0,4,7,0,6,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,7,3,3,0,0,1,0,0,0,0,3,0,2,0,0,0,0,0,431,O23877.1,8.95E-38
gene_2440534|GeneMark.hmm|431_aa|+|400|1695,0,1,0,4,7,0,6,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,7,3,3,0,0,1,0,0,0,0,3,0,2,0,0,0,0,0,431,O23877.1,1.67E-50
gene_2446695|GeneMark.hmm|296_aa|-|1|888,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,296,Q8A1G1.1,6.10E-10
gene_2447756|GeneMark.hmm|111_aa|-|3|335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,111,B4SL92.1,2.16E-34
gene_2448809|GeneMark.hmm|958_aa|+|2|2878,0,1,3,1,1,0,2,2,1,3,0,0,1,0,1,0,0,3,2,0,1,1,1,2,2,1,0,0,2,0,1,0,1,0,0,1,1,2,1,0,2,0,2,1,1,4,4,0,958,P17315.2,4.21E-17
gene_2457609|GeneMark.hmm|763_aa|+|49676|51967,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,763,B1K5S8.1,0
gene_2457789|GeneMark.hmm|540_aa|+|15238|16860,0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,2,2,1,1,1,2,2,0,1,1,1,1,2,1,1,1,1,1,540,A3CKI1.1,0
gene_2458654|GeneMark.hmm|407_aa|-|257|1480,7,2,2,2,1,0,2,1,0,3,0,1,0,0,3,0,0,1,2,0,1,0,3,1,3,4,0,6,0,0,0,1,3,0,2,0,1,3,0,0,2,4,0,1,3,1,2,0,407,Q21M86.1,0
gene_24673|GeneMark.hmm|434_aa|-|814|2118,0,6,2,0,1,0,2,1,4,2,0,1,0,1,0,0,0,3,2,1,2,0,1,4,2,6,0,0,2,0,3,1,2,0,2,1,3,0,0,2,3,0,0,0,3,2,4,0,434,Q2YLF8.1,5.44E-19
gene_2468053|GeneMark.hmm|140_aa|-|140|562,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,P37665.2,5.52E-21
gene_2469919|GeneMark.hmm|103_aa|-|2|310,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,103,P94575.1,1.54E-12
gene_2473573|GeneMark.hmm|164_aa|+|2|496,0,2,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,2,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,164,O51401.1,8.95E-33
gene_2478322|GeneMark.hmm|118_aa|-|1|354,0,1,0,0,0,0,1,0,2,0,0,1,0,2,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,118,NA,NA
gene_2489267|GeneMark.hmm|498_aa|-|3|1496,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,498,Q8A1G1.1,3.39E-47
gene_2491565|GeneMark.hmm|575_aa|+|1619|3346,0,1,0,1,0,0,1,0,1,2,0,1,0,0,1,1,0,1,0,1,1,0,2,0,4,3,0,0,0,0,0,1,2,0,1,0,0,2,2,1,3,0,1,0,3,5,5,1,575,P55601.1,4.51E-05
gene_2495411|GeneMark.hmm|167_aa|-|2684|3187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,167,NA,NA
gene_2499905|GeneMark.hmm|258_aa|-|1|774,0,2,1,2,1,0,0,0,0,4,0,0,0,0,0,0,0,1,3,0,0,0,0,0,5,6,0,0,0,0,0,3,3,0,0,0,2,0,0,0,1,0,0,0,1,3,5,0,258,NA,NA
gene_2499906|GeneMark.hmm|1034_aa|-|787|3891,0,5,2,7,0,1,1,0,3,18,0,0,0,0,0,0,0,3,8,0,3,0,1,5,9,19,1,0,1,0,2,10,10,2,0,0,6,1,0,2,3,0,1,2,4,11,17,0,1034,Q8A1G1.1,8.01E-50
gene_251382|GeneMark.hmm|618_aa|-|3|1856,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,618,A5F661.1,2.58E-09
gene_2531543|GeneMark.hmm|319_aa|+|2|961,17,1,1,1,1,0,1,1,0,2,0,1,0,0,4,0,0,1,2,0,1,0,3,1,1,3,0,12,0,0,0,1,1,0,2,0,0,2,0,0,1,14,0,0,2,0,0,0,319,Q12SW1.1,0
gene_253187|GeneMark.hmm|1068_aa|-|1|3204,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1068,Q47CW6.1,1.75E-51
gene_2535308|GeneMark.hmm|381_aa|-|1257|2402,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,381,B4RWC7.1,0
gene_2536534|GeneMark.hmm|97_aa|-|2|292,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,P28073.3,3.27E-40
gene_2542789|GeneMark.hmm|339_aa|+|29848|30867,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,339,Q9JZQ3.1,0
gene_2544200|GeneMark.hmm|310_aa|+|136|1068,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,310,NA,NA
gene_2545911|GeneMark.hmm|206_aa|-|1774|2394,0,4,5,5,8,0,9,7,0,1,0,0,0,0,0,0,0,10,7,0,1,0,0,0,5,1,0,0,8,0,12,6,5,0,0,7,8,0,0,0,10,0,12,0,0,6,2,0,206,Q40296.1,1.52E-76
gene_2547128|GeneMark.hmm|149_aa|+|3|452,0,2,1,3,1,0,2,1,1,1,0,1,0,1,1,1,1,1,1,1,2,0,2,1,2,1,1,0,1,0,1,1,3,1,1,1,1,3,1,1,3,1,2,1,1,1,1,1,149,P58068.1,3.81E-49
gene_2547716|GeneMark.hmm|62_aa|+|388|573,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,62,A8HYU5.1,3.25E-20
gene_254939|GeneMark.hmm|396_aa|-|183|1373,4,2,2,2,2,0,2,2,1,4,1,2,1,1,3,0,0,3,3,1,0,1,3,2,3,4,1,3,1,0,1,3,2,0,2,1,1,2,1,1,2,1,1,1,3,2,3,1,396,Q3BWY6.1,0
gene_2553783|GeneMark.hmm|245_aa|-|1489|2226,0,1,0,0,0,0,2,0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,245,Q5SK82.1,8.89E-13
gene_2554984|GeneMark.hmm|438_aa|+|59|1375,0,0,0,0,1,0,1,1,2,1,1,1,0,1,1,0,1,1,2,0,1,0,0,2,1,1,0,0,1,0,0,1,1,0,1,1,1,0,1,1,1,0,0,0,2,1,1,0,438,P30689.1,7.67E-05
gene_2554995|GeneMark.hmm|305_aa|+|14464|15381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305,P27080.1,8.24E-140
gene_2555415|GeneMark.hmm|94_aa|-|950|1234,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,94,NA,NA
gene_255894|GeneMark.hmm|345_aa|-|4451|5488,0,1,0,0,0,0,2,1,1,0,0,0,0,1,1,0,1,1,0,1,1,0,1,2,0,3,0,0,1,0,2,1,1,0,1,1,1,1,2,0,4,0,2,1,3,1,1,0,345,P0A177.1,9.70E-14
gene_2561641|GeneMark.hmm|256_aa|+|3|773,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,256,NA,NA
gene_2562298|GeneMark.hmm|95_aa|+|114|401,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,1,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,95,NA,NA
gene_2563120|GeneMark.hmm|812_aa|-|2429|4867,0,3,1,2,1,0,3,0,1,1,0,0,1,0,1,1,0,2,1,0,0,1,0,3,3,0,1,0,1,1,1,3,2,1,1,1,1,1,0,0,2,0,0,2,2,3,1,2,812,Q7XI40.1,4.39E-46
gene_2563120|GeneMark.hmm|812_aa|-|2429|4867,0,3,1,2,1,0,3,0,1,1,0,0,1,0,1,1,0,2,1,0,0,1,0,3,3,0,1,0,1,1,1,3,2,1,1,1,1,1,0,0,2,0,0,2,2,3,1,2,812,Q7XI40.1,4.56E-18
gene_2563121|GeneMark.hmm|191_aa|-|4816|5391,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,3,3,2,0,2,0,3,3,0,3,0,1,0,2,3,3,0,1,1,2,1,0,1,3,0,1,3,3,3,1,2,191,NA,NA
gene_256632|GeneMark.hmm|63_aa|+|306|497,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,63,P0A357.1,1.54E-19
gene_256770|GeneMark.hmm|104_aa|+|7955|8269,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,104,NA,NA
gene_2583442|GeneMark.hmm|395_aa|-|126|1313,4,1,1,1,2,0,1,1,1,3,2,1,1,1,3,0,0,2,1,1,0,1,3,2,4,2,1,2,1,0,2,2,1,0,2,1,1,2,1,1,3,2,1,1,2,3,4,1,395,A5FIJ9.1,0
gene_2585843|GeneMark.hmm|81_aa|-|126883|127128,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,81,NA,NA
gene_2590699|GeneMark.hmm|414_aa|-|1|1242,0,3,1,5,0,1,0,0,2,10,0,0,0,0,0,0,0,2,4,0,2,0,1,2,6,13,0,0,1,0,1,4,2,1,0,0,3,1,0,2,2,0,1,1,0,7,6,0,414,Q8A1G1.1,1.86E-07
gene_2590845|GeneMark.hmm|557_aa|-|1981|3654,0,4,6,5,8,1,7,4,3,3,2,3,0,0,2,2,1,8,3,2,0,1,2,2,8,2,2,2,6,2,6,8,8,2,0,3,4,1,1,0,6,2,7,1,1,6,3,2,557,P09189.1,0
gene_2590846|GeneMark.hmm|136_aa|-|3797|4207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,136,P11145.2,4.01E-50
gene_2594812|GeneMark.hmm|140_aa|+|272|694,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,140,P11718.2,2.34E-38
gene_2609429|GeneMark.hmm|111_aa|-|3|335,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,111,NA,NA
gene_2616527|GeneMark.hmm|368_aa|-|830|1936,0,1,1,1,4,0,2,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,3,2,2,0,0,2,0,0,0,0,3,0,2,0,0,1,0,0,368,Q0PAS0.1,1.76E-150
gene_262172|GeneMark.hmm|201_aa|-|1|603,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,201,Q8A1G1.1,3.71E-31
gene_2627003|GeneMark.hmm|534_aa|+|1|1605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,534,P17315.2,1.27E-09
gene_2629339|GeneMark.hmm|300_aa|-|1306|2208,0,1,1,2,2,0,2,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,1,1,2,2,2,0,0,1,1,0,0,1,2,0,2,0,0,0,1,0,300,Q9S9P8.1,9.92E-148
gene_2635976|GeneMark.hmm|258_aa|-|2|775,0,1,1,4,4,1,5,6,1,1,0,1,1,0,1,0,0,1,1,0,0,0,0,1,1,2,0,0,2,0,2,3,3,0,0,3,0,0,0,0,1,0,2,0,0,1,0,0,258,Q08115.1,0
gene_2638274|GeneMark.hmm|427_aa|-|2|1282,0,1,0,1,1,0,1,1,1,1,0,0,0,1,0,0,1,1,1,0,0,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,427,P0C6R0.1,2.77E-09
gene_2638432|GeneMark.hmm|227_aa|-|1|681,0,1,0,1,0,0,1,0,0,1,0,1,0,0,2,0,0,1,0,1,1,0,1,0,3,2,0,0,0,0,0,1,2,0,1,0,0,1,2,1,3,0,1,0,3,4,2,1,227,NA,NA
gene_2638989|GeneMark.hmm|89_aa|+|2682|2948,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,89,NA,NA
gene_2642711|GeneMark.hmm|434_aa|-|31|1335,0,1,0,0,1,0,2,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,0,0,2,0,1,1,0,0,0,1,0,0,0,0,4,0,0,0,0,0,2,0,434,NA,NA
gene_264364|GeneMark.hmm|231_aa|-|3|695,0,7,1,6,5,1,5,3,3,4,0,1,1,0,1,0,0,7,1,0,0,0,0,3,6,4,1,0,1,1,7,9,5,0,1,3,2,2,0,0,5,0,6,0,2,5,3,1,231,Q9ZSW1.1,1.54E-149
gene_2653015|GeneMark.hmm|151_aa|+|1484|1939,0,4,2,7,8,0,3,0,3,0,0,0,2,0,1,0,1,4,2,2,3,1,2,2,10,2,1,0,3,1,9,6,8,0,2,4,1,3,1,0,7,0,8,1,3,7,3,1,151,Q7T3T2.3,2.97E-98
gene_2656414|GeneMark.hmm|635_aa|+|281|2188,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,2,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,2,1,2,0,635,Q9X4Y1.2,9.14E-42
gene_2658095|GeneMark.hmm|510_aa|-|312|1844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,510,P42061.2,3.50E-20
gene_2663270|GeneMark.hmm|241_aa|-|482|1207,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,241,P58905.1,2.91E-30
gene_2668162|GeneMark.hmm|189_aa|+|1|570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,P38975.1,2.01E-54
gene_2669107|GeneMark.hmm|240_aa|-|2|721,0,1,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,240,Q52663.2,4.37E-100
gene_2669320|GeneMark.hmm|170_aa|-|2|511,0,4,3,4,4,2,5,3,5,5,4,4,4,6,5,5,6,6,4,4,6,4,6,5,4,5,4,0,3,0,5,5,3,1,4,5,2,5,7,6,5,0,4,2,6,5,7,5,170,NA,NA
